開始日時：2017/05/22 10:56:01
棋戦：将棋ウォーズ(10秒将棋)
手合割：平手
先手：tukushiari
後手：KinoP07
手数----指手---------消費時間--
1 ７六歩(77)   ( 00:04/00:00:04)
2 ３四歩(33)   ( 00:02/00:00:02)
3 ６六歩(67)   ( 00:03/00:00:07)
4 ８四歩(83)   ( 00:02/00:00:04)
5 ７七角(88)   ( 00:04/00:00:11)
6 ４二玉(51)   ( 00:02/00:00:06)
7 ７八銀(79)   ( 00:01/00:00:12)
8 ８五歩(84)   ( 00:02/00:00:08)
9 ２六歩(27)   ( 00:02/00:00:14)
10 ３二銀(31)   ( 00:02/00:00:10)
11 ４八銀(39)   ( 00:02/00:00:16)
12 ３三銀(32)   ( 00:01/00:00:11)
13 ５八金(49)   ( 00:01/00:00:17)
14 ５二金(61)   ( 00:01/00:00:12)
15 ６八玉(59)   ( 00:01/00:00:18)
16 ６二銀(71)   ( 00:01/00:00:13)
17 ７九玉(68)   ( 00:01/00:00:19)
18 ９四歩(93)   ( 00:04/00:00:17)
19 ６七金(58)   ( 00:01/00:00:20)
20 ５四歩(53)   ( 00:01/00:00:18)
21 ３六歩(37)   ( 00:01/00:00:21)
22 ４四歩(43)   ( 00:02/00:00:20)
23 ５六歩(57)   ( 00:02/00:00:23)
24 ３二玉(42)   ( 00:01/00:00:21)
25 ３七銀(48)   ( 00:00/00:00:23)
26 ３一角(22)   ( 00:01/00:00:22)
27 ２五歩(26)   ( 00:05/00:00:28)
28 ７四歩(73)   ( 00:02/00:00:24)
29 ８八玉(79)   ( 00:02/00:00:30)
30 ６四角(31)   ( 00:02/00:00:26)
31 ６八角(77)   ( 00:05/00:00:35)
32 ４五歩(44)   ( 00:03/00:00:29)
33 ７七銀(78)   ( 00:02/00:00:37)
34 ４三金(52)   ( 00:02/00:00:31)
35 ７八金(69)   ( 00:02/00:00:39)
36 ７三桂(81)   ( 00:06/00:00:37)
37 １六歩(17)   ( 00:02/00:00:41)
38 ５三銀(62)   ( 00:02/00:00:39)
39 １七香(19)   ( 00:03/00:00:44)
40 ４四銀(53)   ( 00:02/00:00:41)
41 ４八飛(28)   ( 00:04/00:00:48)
42 ５二飛(82)   ( 00:02/00:00:43)
43 ４六歩(47)   ( 00:06/00:00:54)
44 同　歩(45)   ( 00:01/00:00:44)
45 同　銀(37)   ( 00:01/00:00:55)
46 ５五歩(54)   ( 00:01/00:00:45)
47 ４五歩打   ( 00:06/00:01:01)
48 ５三銀(44)   ( 00:03/00:00:48)
49 ５五銀(46)   ( 00:02/00:01:03)
50 同　角(64)   ( 00:02/00:00:50)
51 同　歩(56)   ( 00:02/00:01:05)
52 ５四歩打   ( 00:03/00:00:53)
53 同　歩(55)   ( 00:02/00:01:07)
54 同　銀(53)   ( 00:01/00:00:54)
55 ３七桂(29)   ( 00:05/00:01:12)
56 ５五銀(54)   ( 00:01/00:00:55)
57 ５三歩打   ( 00:06/00:01:18)
58 同　飛(52)   ( 00:02/00:00:57)
59 ６二角打   ( 00:03/00:01:21)
60 ５四飛(53)   ( 00:04/00:01:01)
61 ７三角成(62)   ( 00:02/00:01:23)
62 ５六銀打   ( 00:02/00:01:03)
63 ５七歩打   ( 00:08/00:01:31)
64 ６七銀成(56)   ( 00:03/00:01:06)
65 同　金(78)   ( 00:01/00:01:32)
66 ５六歩打   ( 00:04/00:01:10)
67 ６五銀打   ( 00:06/00:01:38)
68 ５二飛(54)   ( 00:06/00:01:16)
69 ５六歩(57)   ( 00:07/00:01:45)
70 ６四歩(63)   ( 00:09/00:01:25)
71 同　銀(65)   ( 00:08/00:01:53)
72 同　銀(55)   ( 00:01/00:01:26)
73 同　馬(73)   ( 00:02/00:01:55)
74 ２七金打   ( 00:10/00:01:36)
75 ４四桂打   ( 00:04/00:01:59)
76 ２二玉(32)   ( 00:03/00:01:39)
77 ５二桂成(44)   ( 00:03/00:02:02)
78 同　金(41)   ( 00:02/00:01:41)
79 ４四歩(45)   ( 00:06/00:02:08)
80 同　銀(33)   ( 00:02/00:01:43)
81 ３一銀打   ( 00:07/00:02:15)
82 ３三玉(22)   ( 00:04/00:01:47)
83 ４五歩打   ( 00:03/00:02:18)
84 ５三銀(44)   ( 00:02/00:01:49)
85 同　馬(64)   ( 00:05/00:02:23)
86 同　金(43)   ( 00:03/00:01:52)
87 ４四銀打   ( 00:02/00:02:25)
88 同　金(53)   ( 00:02/00:01:54)
89 同　歩(45)   ( 00:01/00:02:26)
90 ４二歩打   ( 00:02/00:01:56)
91 ８三飛打   ( 00:08/00:02:34)
92 ５三歩打   ( 00:03/00:01:59)
93 ４三歩成(44)   ( 00:07/00:02:41)
94 同　歩(42)   ( 00:01/00:02:00)
95 ８二飛成(83)   ( 00:06/00:02:47)
96 ６三銀打   ( 00:03/00:02:03)
97 ９一龍(82)   ( 00:09/00:02:56)
98 ３七金(27)   ( 00:02/00:02:05)
99 ４五飛(48)   ( 00:04/00:03:00)
100 ４四歩(43)   ( 00:05/00:02:10)
101 ８五飛(45)   ( 00:04/00:03:04)
102 ４五桂打   ( 00:11/00:02:21)
103 ４一龍(91)   ( 00:10/00:03:14)
104 投了
